email string match,company name,,company id
westernpower.co.uk,Western Power Distribution,,422
wwutilities,Wales and West Utilities,,417
ssen@safedigs.co.uk,Scottish and Southern Electricity Networks,,561
ukpowernetworks,UK Power Networks,,406
ssetelecoms,SSE Enterprise Telecoms,,564
sgn@safedigs.co.uk,SGN,,383
zayo,Zayo Group UK Ltd c/o JSM Group Ltd,,473
planrequest@enwl.co.uk,Electricity North West Limited,,314
plans@nwl.co.uk,Essex & Suffolk Water,,360
gamma@safedigs.co.uk,Gamma,,326
GBN-Enquiries@uis.cam.ac.uk,University of Cambridge Granta Backbone Network,,567
fulcrum@safedigs.co.uk,Fulcrum Pipelines Limited,,325
esp@safedigs.co.uk,ESP Utilities Group,,321
noreply.eagles@dnvgl.com,"National Grid Gas (Above 7 bar), National Grid Gas Distribution Limited (Above 2 bar) and National Grid Electricity Transmission",,355
MurphyUtilityAssets@safedigs.co.uk,Murphy Utility Assets,,549
gigaclearltd@safedigs.co.uk,Gigaclear Ltd,,553
gtt@safedigs.co.uk,Gtt,,344
sseutilitysolutionsltd@safedigs.co.uk,SSE Utility Solutions Limited,,565
cspplant@conceptsolutionspeople.com,Concept Solutions People Ltd,,303
noreply@linesearchbeforeudig.co.uk,Linesearch,,0
heathrowairport@safedigs.co.uk,Heathrow Airport LTD,,569
Jurassic-Fibre.com,Jurassic Fibre Ltd,,568
portsmouthwater@safedigs.co.uk,Portsmouth Water,,367
seswater@safedigs.co.uk,SES Water,,381
tatacommunications@safedigs.co.uk,Tata Communications,,521
plans@nwl.co.uk,Northumbrian Water or Essex & Suffolk Water,,566
plans@nwl.co.uk,Northumbrian Water Limited,,
no-reply@linesearch.org,"National Grid Gas (Above 7 bar), National Grid Gas Distribution Limited (Above 2 bar) and National Grid Electricity Transmission",,355
LastMile@safedigs.co.uk,Last Mile,,570
neosnetworks@safedigs.co.uk,Neos Networks,,571
Veolia,Veolia ES SELCHP Limited,,412
,Seabank Power Ltd,,
